"Positions for account CEE Fund Portfolio ...948 as of 11:38 AM ET, 2026/08/03"

"Symbol","Description","Qty (Quantity)","Price","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Mkt Val (Market Value)","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Reinvest?","Reinvest Capital Gains?","Asset Type",
"AAPL","APPLE INC","10.1242","304.275","-4.635","-1.5%","$3,080.54","-$46.93","-1.5%","$1,824.05","$1,256.49","68.88%","Yes","N/A","Equity",
"ABBV","ABBVIE INC","20.1735","246.2071","-4.7329","-1.89%","$4,966.86","-$95.48","-1.89%","$3,235.98","$1,730.88","53.49%","Yes","N/A","Equity",
"ADI","ANALOG DEVICES INC","14.5664","360.5732","-6.8368","-1.86%","$5,252.25","-$99.59","-1.86%","$1,930.12","$3,322.13","172.12%","Yes","N/A","Equity",
"BRK/B","BERKSHIRE HATHAWAY CLASS B","8","513.5201","1.9801","0.39%","$4,108.16","$15.84","0.39%","$3,117.44","$990.72","31.78%","Yes","N/A","Equity",
"COF","CAPITAL ONE FINL CORP","15.4779","215.96","6.95","3.33%","$3,342.61","$107.57","3.33%","$2,231.67","$1,110.94","49.78%","Yes","N/A","Equity",
"DAR","DARLING INGREDIENTS INC","20","60.065","-0.575","-0.95%","$1,201.30","-$11.50","-0.95%","$1,170.02","$31.28","2.67%","Yes","N/A","Equity",
"DIS","DISNEY WALT CO","20.1551","97.8375","1.6475","1.71%","$1,971.92","$33.21","1.71%","$2,163.60","-$191.68","-8.86%","Yes","N/A","Equity",
"DLR","DIGITAL RLTY TR INC REIT","18.5389","191.03","2.51","1.33%","$3,541.49","$46.53","1.33%","$1,903.40","$1,638.09","86.06%","Yes","N/A","Equity",
"ET","ENERGY TRANSFER L P LP","96.723","20.3861","0.0261","0.13%","$1,971.80","$2.52","0.13%","$1,683.32","$288.48","17.14%","Yes","N/A","Equity",
"FSLR","FIRST SOLAR INC","3","237.46","26.43","12.52%","$712.38","$79.29","12.52%","$306.66","$405.72","132.3%","Yes","N/A","Equity",
"GD","GENERAL DYNAMICS CORP","4.072","381.49","-1.93","-0.5%","$1,553.43","-$7.86","-0.5%","$1,151.34","$402.09","34.92%","Yes","N/A","Equity",
"GOOGL","ALPHABET INC CLASS A","34.2948","373.9843","17.8543","5.01%","$12,825.72","$612.31","5.01%","$4,684.94","$8,140.78","173.76%","Yes","N/A","Equity",
"GRMN","GARMIN LTD F","7.2619","301.0688","7.2888","2.48%","$2,186.33","$52.93","2.48%","$1,083.91","$1,102.42","101.71%","Yes","N/A","Equity",
"HD","HOME DEPOT INC","7.8776","334.55","2.59","0.78%","$2,635.45","$20.40","0.78%","$1,722.24","$913.21","53.02%","Yes","N/A","Equity",
"HOOD","ROBINHOOD MKTS INC CLASS A","14","90.79","4.23","4.89%","$1,271.06","$59.22","4.89%","$979.37","$291.69","29.78%","Yes","N/A","Equity",
"HWM","HOWMET AEROSPACE INC","16.0074","283.1593","0.8993","0.32%","$4,532.64","$14.40","0.32%","$4,125.28","$407.36","9.87%","Yes","N/A","Equity",
"IREN","IREN LTD F","18","38.87","2.07","5.63%","$699.66","$37.26","5.62%","$1,184.85","-$485.19","-40.95%","Yes","N/A","Equity",
"ISRG","INTUITIVE SURGICAL INC","5","373.36","20.03","5.67%","$1,866.80","$100.15","5.67%","$935.04","$931.76","99.65%","Yes","N/A","Equity",
"LLY","ELI LILLY AND CO","3.026","1,116.9547","-31.8853","-2.78%","$3,379.90","-$96.48","-2.78%","$2,717.18","$662.72","24.39%","Yes","N/A","Equity",
"MBGL","MOBILITY GLOBAL INC","4","20.88","0.50","2.45%","$83.52","$2.00","2.45%","$85.19","-$1.67","-1.96%","No","N/A","Equity",
"MSFT","MICROSOFT CORP","22.7249","487.30","22.58","4.86%","$11,073.84","$513.13","4.86%","$7,521.63","$3,552.21","47.23%","Yes","N/A","Equity",
"NFLX","NETFLIX INC","21","73.145","1.435","2%","$1,536.05","$30.14","2%","$1,936.31","-$400.26","-20.67%","Yes","N/A","Equity",
"PANW","PALO ALTO NETWORKS INC","22","337.018","5.188","1.56%","$7,414.40","$114.14","1.56%","$2,824.06","$4,590.34","162.54%","Yes","N/A","Equity",
"PLTR","PALANTIR TECHNOLOGIES INCLASS CLASS A","36","124.9147","1.8547","1.51%","$4,496.93","$66.77","1.51%","$3,721.42","$775.51","20.84%","Yes","N/A","Equity",
"SOFI","SOFI TECHNOLOGIES INC","100","17.435","1.125","6.9%","$1,743.50","$112.50","6.9%","$756.69","$986.81","130.41%","Yes","N/A","Equity",
"SOUN","SOUNDHOUND AI INC CLASS A","50","6.135","0.005","0.08%","$306.75","$0.25","0.08%","$97.90","$208.85","213.33%","Yes","N/A","Equity",
