"Positions for account CEE Fund Portfolio ...948 as of 02:01 PM ET, 2026/09/02"

"Symbol","Description","Qty (Quantity)","Price","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Mkt Val (Market Value)","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Reinvest?","Reinvest Capital Gains?","Asset Type",
"AAPL","APPLE INC","10.1332","326.00","0.87","0.27%","$3,303.42","$8.82","0.27%","$1,826.78","$1,476.64","80.83%","Yes","N/A","Equity",
"ABBV","ABBVIE INC","20.3136","260.025","0.035","0.01%","$5,282.04","$0.71","0.01%","$3,270.88","$2,011.16","61.49%","Yes","N/A","Equity",
"ADI","ANALOG DEVICES INC","12.5664","355.12","0.60","0.17%","$4,462.58","$7.54","0.17%","$1,773.29","$2,689.29","151.66%","Yes","N/A","Equity",
"BRK/B","BERKSHIRE HATHAWAY CLASS B","8","507.78","5.45","1.08%","$4,062.24","$43.60","1.08%","$3,117.44","$944.80","30.31%","Yes","N/A","Equity",
"COF","CAPITAL ONE FINL CORP","15.5356","216.7942","5.4542","2.58%","$3,368.03","$84.73","2.58%","$2,244.05","$1,123.98","50.09%","Yes","N/A","Equity",
"DAR","DARLING INGREDIENTS INC","20","68.07","0.37","0.55%","$1,361.40","$7.40","0.55%","$1,170.02","$191.38","16.36%","Yes","N/A","Equity",
"DIS","DISNEY WALT CO","20.1551","108.67","2.45","2.31%","$2,190.25","$49.38","2.31%","$2,163.60","$26.65","1.23%","Yes","N/A","Equity",
"DLR","DIGITAL RLTY TR INC REIT","18.5389","181.3274","-1.9426","-1.06%","$3,361.61","-$36.01","-1.06%","$1,903.40","$1,458.21","76.61%","Yes","N/A","Equity",
"ET","ENERGY TRANSFER L P LP","98.2632","21.535","0.115","0.54%","$2,116.10","$11.30","0.54%","$1,716.21","$399.89","23.3%","Yes","N/A","Equity",
"FSLR","FIRST SOLAR INC","3","200.825","1.175","0.59%","$602.48","$3.53","0.59%","$306.66","$295.82","96.47%","Yes","N/A","Equity",
"GD","GENERAL DYNAMICS CORP","4.0888","364.36","-5.05","-1.37%","$1,489.80","-$20.65","-1.37%","$1,157.81","$331.99","28.67%","Yes","N/A","Equity",
"GOOGL","ALPHABET INC CLASS A","34.2948","337.57","2.55","0.76%","$11,576.90","$87.45","0.76%","$4,684.94","$6,891.96","147.11%","Yes","N/A","Equity",
"GRMN","GARMIN LTD F","7.2619","273.92","-1.25","-0.45%","$1,989.18","-$9.08","-0.45%","$1,083.91","$905.27","83.52%","Yes","N/A","Equity",
"HD","HOME DEPOT INC","5.8776","319.895","0.125","0.04%","$1,880.21","$0.73","0.04%","$1,367.87","$512.34","37.46%","Yes","N/A","Equity",
"HOOD","ROBINHOOD MKTS INC CLASS A","14","105.76","2.25","2.17%","$1,480.64","$31.50","2.17%","$979.37","$501.27","51.18%","Yes","N/A","Equity",
"HWM","HOWMET AEROSPACE INC","16.0159","252.205","-2.685","-1.05%","$4,039.29","-$43.00","-1.05%","$4,127.52","-$88.23","-2.14%","Yes","N/A","Equity",
"IREN","IREN LTD F","18","38.76","1.94","5.27%","$697.68","$34.92","5.27%","$1,184.85","-$487.17","-41.12%","Yes","N/A","Equity",
"ISRG","INTUITIVE SURGICAL INC","5","370.785","1.535","0.42%","$1,853.93","$7.68","0.42%","$935.04","$918.89","98.27%","Yes","N/A","Equity",
"LLY","ELI LILLY AND CO","3.026","1,162.72","2.72","0.23%","$3,518.39","$8.23","0.23%","$2,717.18","$801.21","29.49%","Yes","N/A","Equity",
