"Positions for account CEE Fund Mngd Endow ...047 as of 11:37 AM ET, 2026/08/03"

"Symbol","Description","Qty (Quantity)","Price","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Mkt Val (Market Value)","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Reinvest?","Reinvest Capital Gains?","Asset Type",
"AAPL","APPLE INC","63.7583","304.23","-4.68","-1.52%","$19,397.19","-$298.39","-1.52%","$8,148.58","$11,248.61","138.04%","Yes","N/A","Equity",
"AMZN","AMAZON.COM INC","47","285.8101","14.2301","5.24%","$13,433.07","$668.81","5.24%","$9,998.66","$3,434.41","34.35%","Yes","N/A","Equity",
"BRK/B","BERKSHIRE HATHAWAY CLASS B","10","513.8276","2.2876","0.45%","$5,138.28","$22.88","0.45%","$3,898.55","$1,239.73","31.8%","Yes","N/A","Equity",
"BX","BLACKSTONE INC","48.7151","130.3022","3.8422","3.04%","$6,347.68","$187.17","3.04%","$4,701.42","$1,646.26","35.02%","Yes","N/A","Equity",
"CAT","CATERPILLAR INC","23.8639","821.9647","7.1547","0.88%","$19,615.28","$170.74","0.88%","$4,848.51","$14,766.77","304.56%","Yes","N/A","Equity",
"CEG","CONSTELLATION ENERGY COR","16","271.3623","8.6123","3.28%","$4,341.80","$137.80","3.28%","$5,939.04","-$1,597.24","-26.89%","No","N/A","Equity",
"COST","COSTCO WHSL CORP NEW","4.2469","954.3523","2.4623","0.26%","$4,053.04","$10.46","0.26%","$1,780.19","$2,272.85","127.67%","Yes","N/A","Equity",
"CRWD","CROWDSTRIKE HLDGS INC CLASS CLASS A","40","196.14","5.28","2.77%","$7,845.60","$211.20","2.77%","$3,002.30","$4,843.30","161.32%","Yes","N/A","Equity",
"DLR","DIGITAL RLTY TR INC REIT","26.2648","190.9152","2.3952","1.27%","$5,014.35","$62.91","1.27%","$3,192.27","$1,822.08","57.08%","Yes","N/A","Equity",
"GOOG","ALPHABET INC CLASS CLASS C","84.7395","373.755","17.105","4.8%","$31,671.81","$1,449.47","4.8%","$8,717.55","$22,954.26","263.31%","Yes","N/A","Equity",
"HCA","HCA HEALTHCARE INC","11.1852","407.0199","4.4299","1.1%","$4,552.60","$49.55","1.1%","$3,711.19","$841.41","22.67%","Yes","N/A","Equity",
