"Positions for account CEE Fund Mngd Endow ...047 as of 02:01 PM ET, 2026/09/02"

"Symbol","Description","Qty (Quantity)","Price","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Mkt Val (Market Value)","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Reinvest?","Reinvest Capital Gains?","Asset Type",
"AAPL","APPLE INC","63.8148","325.89","0.76","0.23%","$20,796.61","$48.50","0.23%","$8,165.79","$12,630.82","154.68%","Yes","N/A","Equity",
"AMZN","AMAZON.COM INC","47","254.8205","-0.0995","-0.04%","$11,976.56","-$4.68","-0.04%","$9,998.66","$1,977.90","19.78%","Yes","N/A","Equity",
"BRK/B","BERKSHIRE HATHAWAY CLASS B","10","507.78","5.45","1.08%","$5,077.80","$54.50","1.08%","$3,898.55","$1,179.25","30.25%","Yes","N/A","Equity",
"BX","BLACKSTONE INC","49.1666","137.52","0.86","0.63%","$6,761.39","$42.28","0.63%","$4,764.26","$1,997.13","41.92%","Yes","N/A","Equity",
"CAT","CATERPILLAR INC","23.9118","784.115","4.955","0.64%","$18,749.60","$118.48","0.64%","$4,887.41","$13,862.19","283.63%","Yes","N/A","Equity",
"CEG","CONSTELLATION ENERGY COR","16","284.46","4.15","1.48%","$4,551.36","$66.40","1.48%","$5,939.04","-$1,387.68","-23.37%","No","N/A","Equity",
"COST","COSTCO WHSL CORP NEW","4.2535","931.88","-8.08","-0.86%","$3,963.75","-$34.37","-0.86%","$1,786.43","$2,177.32","121.88%","Yes","N/A","Equity",
"CRWD","CROWDSTRIKE HLDGS INC CLASS CLASS A","40","202.035","-13.035","-6.06%","$8,081.40","-$521.40","-6.06%","$3,002.30","$5,079.10","169.17%","Yes","N/A","Equity",
"DLR","DIGITAL RLTY TR INC REIT","26.2648","181.25","-2.02","-1.1%","$4,760.50","-$53.05","-1.1%","$3,192.27","$1,568.23","49.13%","Yes","N/A","Equity",
"GOOG","ALPHABET INC CLASS CLASS C","84.7395","333.925","1.895","0.57%","$28,296.64","$160.58","0.57%","$8,717.55","$19,579.09","224.59%","Yes","N/A","Equity",
"HCA","HCA HEALTHCARE INC","11.1852","407.46","-6.12","-1.48%","$4,557.52","-$68.45","-1.48%","$3,711.19","$846.33","22.8%","Yes","N/A","Equity",
"HD","HOME DEPOT INC","10.1407","319.86","0.09","0.03%","$3,243.60","$0.91","0.03%","$3,833.92","-$590.32","-15.4%","Yes","N/A","Equity",
"HWM","HOWMET AEROSPACE INC","8.0079","252.2396","-2.6504","-1.04%","$2,019.91","-$21.22","-1.04%","$2,037.52","-$17.61","-0.86%","Yes","N/A","Equity",
"KO","THE COCA-COLA CO","105.704","88.8874","0.8874","1.01%","$9,395.75","$93.80","1.01%","$5,848.42","$3,547.33","60.65%","Yes","N/A","Equity",
"LLY","ELI LILLY AND CO","7.0332","1,162.30","2.30","0.2%","$8,174.69","$16.18","0.2%","$5,929.16","$2,245.53","37.87%","Yes","N/A","Equity",
"MA","MASTERCARD INC CLASS CLASS A","11.0363","588.345","7.245","1.25%","$6,493.15","$79.96","1.25%","$5,820.07","$673.08","11.56%","Yes","N/A","Equity",
"MBGL","MOBILITY GLOBAL INC","14","20.44","0.61","3.08%","$286.16","$8.54","3.08%","$298.31","-$12.15","-4.07%","No","N/A","Equity",
"META","META PLATFORMS INC CLASS A","16.0877","591.95","13.41","2.32%","$9,523.11","$215.74","2.32%","$9,914.94","-$391.83","-3.95%","Yes","N/A","Equity",
"MSFT","MICROSOFT CORP","36.5153","497.355","-3.665","-0.73%","$18,161.07","-$133.83","-0.73%","$9,938.90","$8,222.17","82.73%","Yes","N/A","Equity",
"NFLX","NETFLIX INC","43","82.365","1.555","1.92%","$3,541.70","$66.87","1.92%","$3,967.12","-$425.42","-10.72%","Yes","N/A","Equity",
"NUE","NUCOR CORP","50.5522","261.195","9.275","3.68%","$13,203.98","$468.87","3.68%","$6,544.83","$6,659.15","101.75%","Yes","N/A","Equity",
"NVDA","NVIDIA CORP","35.0449","224.674","7.234","3.33%","$7,873.68","$253.51","3.33%","$5,979.40","$1,894.28","31.68%","Yes","N/A","Equity",
"ORCL","ORACLE CORP","18.6604","145.40","4.08","2.89%","$2,713.22","$76.13","2.89%","$2,363.93","$349.29","14.78%","Yes","N/A","Equity",
"PFE","PFIZER INC","205.7065","28.9285","0.3785","1.33%","$5,950.78","$77.86","1.33%","$5,082.26","$868.52","17.09%","Yes","N/A","Equity",
"SBGSF","SCHNEIDER ELECTRIC ORDF","18","337.96","3.8151","1.14%","$6,083.28","$68.67","1.14%","$5,184.26","$899.02","17.34%","No","N/A","Equity",
"SPGI","S&P GLOBAL INC","14.0317","433.8867","-6.3233","-1.44%","$6,088.17","-$88.73","-1.44%","$5,878.37","$209.80","3.57%","Yes","N/A","Equity",
"SYK","STRYKER CORP","16.1688","314.0514","-3.3486","-1.06%","$5,077.83","-$54.14","-1.05%","$3,580.30","$1,497.53","41.83%","Yes","N/A","Equity",
"TKO","TKO GROUP HLDGS INC CLASS A","23","188.39","6.12","3.36%","$4,332.97","$140.76","3.36%","$4,669.58","-$336.61","-7.21%","No","N/A","Equity",
"TMUS","T-MOBILE US INC","20.109","186.88","4.72","2.59%","$3,757.97","$94.91","2.59%","$3,983.99","-$226.02","-5.67%","Yes","N/A","Equity",
"TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","14","412.4688","-1.5312","-0.37%","$5,774.56","-$21.44","-0.37%","$3,801.65","$1,972.91","51.9%","No","N/A","Equity",
"V","VISA INC CLASS A","33.1408","378.085","5.415","1.45%","$12,530.04","$179.46","1.45%","$8,363.08","$4,166.96","49.83%","Yes","N/A","Equity",
"WM","WASTE MGMT INC DEL","20.504","220.2161","0.4461","0.2%","$4,515.31","$9.15","0.2%","$3,164.24","$1,351.07","42.7%","Yes","N/A","Equity",
"WMT","WALMART INC","55.6287","106.565","0.645","0.61%","$5,928.07","$35.88","0.61%","$5,412.69","$515.38","9.52%","Yes","N/A","Equity",
"XOM","EXXONMOBIL HLDGS CORP","14.1925","163.6604","-0.8896","-0.54%","$2,322.75","-$12.63","-0.54%","$2,118.51","$204.24","9.64%","Yes","N/A","Equity",
