"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"08/11/2026","Reinvest Shares","NUE","NUCOR CORP","0.1029","$274.5087","","-$28.25"
"08/11/2026","Qual Div Reinvest","NUE","NUCOR CORP","","","","$28.25"
"08/10/2026","Reinvest Shares","BX","BLACKSTONE INC","0.4515","$139.1948","","-$62.84"
"08/10/2026","Qual Div Reinvest","BX","BLACKSTONE INC","","","","$62.84"
"08/07/2026","Reinvest Shares","MA","MASTERCARD INC CLASS CLASS A","0.0169","$567.4086","","-$9.59"
"08/07/2026","Reinvest Shares","COST","COSTCO WHSL CORP NEW","0.0066","$946.4153","","-$6.24"
"08/07/2026","Qual Div Reinvest","MA","MASTERCARD INC CLASS CLASS A","","","","$9.59"
"08/07/2026","Qual Div Reinvest","COST","COSTCO WHSL CORP NEW","","","","$6.24"
"08/05/2026","Reinvest Shares","VCSH","VANGUARD SHORT TERM COR BD ETF","0.3213","$78.59","","-$25.25"
"08/05/2026","Reinvest Dividend","VCSH","VANGUARD SHORT TERM COR BD ETF","","","","$25.25"
"07/31/2026","Reinvest Shares","SYK","STRYKER CORP","0.044","$322.1446","","-$14.19"
"07/31/2026","Qual Div Reinvest","SYK","STRYKER CORP","","","","$14.19"
"07/24/2026","Reinvest Shares","ORCL","ORACLE CORP","0.079","$117.5813","","-$9.29"
"07/24/2026","Qual Div Reinvest","ORCL","ORACLE CORP","","","","$9.29"
"07/16/2026 as of 07/15/2026","Bank Interest","","BANK INT ...526 SCHWAB BANK","","","","$0.06"
"07/10/2026","Reinvest Shares","QQQ","INVESCO QQQ TR","0.0271","$723.25","","-$19.57"
"07/10/2026","Reinvest Dividend","QQQ","INVESCO QQQ TR","","","","$19.57"
"07/09/2026","Foreign Tax Paid","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","-$2.76"
"07/09/2026","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$13.15"
"07/06/2026","Reinvest Shares","VCSH","VANGUARD SHORT TERM COR BD ETF","0.3072","$78.78","","-$24.20"
"07/06/2026","Reinvest Dividend","VCSH","VANGUARD SHORT TERM COR BD ETF","","","","$24.20"
"07/02/2026 as of 07/01/2026","Cash In Lieu","MBGL","MOBILITY GLOBAL INC","","","","$0.65"
"07/02/2026","Mandatory Reorg Exc","XOM","EXXONMOBIL HLDGS CORP","14.1925","","",""
"07/02/2026","Mandatory Reorg Exc","30231G102","EXXON MOBIL CORP XXXNAME CHANGE EFF: 07/02/26","-14.1925","","",""
"07/02/2026 as of 07/01/2026","Stock Split","CRWD","CROWDSTRIKE HLDGS INC CLASS CLASS A","30","$193.185","",""
"07/01/2026","Reinvest Shares","KO","THE COCA-COLA CO","0.6827","$81.5329","","-$55.66"
"07/01/2026","Spin-off","MBGL","MOBILITY GLOBAL INC","14","","",""
"07/01/2026","Qual Div Reinvest","KO","THE COCA-COLA CO","","","","$55.66"
"06/30/2026","Reinvest Shares","HCA","HCA HEALTHCARE INC","0.0224","$387.9895","","-$8.71"
"06/30/2026","Reinvest Shares","VUG","VANGUARD GROWTH INDEX FUND ETF SHARES","0.1545","$86.06","","-$13.30"
"06/30/2026","Reinvest Shares","VOO","VANGUARD S&P ...500 ETF","0.1753","$686.4199","","-$120.33"
"06/30/2026","Reinvest Shares","VTI","VANGUARD TOTAL STOCK MARKET INDEX FUND ETF SHARES","0.0936","$369.9999","","-$34.65"
"06/30/2026","Reinvest Shares","DLR","DIGITAL RLTY TR INC REIT","0.1753","$181.5233","","-$31.83"
"06/30/2026","Non-Qualified Div","DLR","DIGITAL RLTY TR INC REIT","","","","$31.83"
"06/30/2026","Reinvest Dividend","VTI","VANGUARD TOTAL STOCK MARKET INDEX FUND ETF SHARES","","","","$34.65"
"06/30/2026","Reinvest Dividend","VOO","VANGUARD S&P ...500 ETF","","","","$120.33"
"06/30/2026","Qual Div Reinvest","HCA","HCA HEALTHCARE INC","","","","$8.71"
"06/30/2026","Reinvest Dividend","VUG","VANGUARD GROWTH INDEX FUND ETF SHARES","","","","$13.30"
"06/30/2026","Qualified Dividend","TKO","TKO GROUP HLDGS INC CLASS A","","","","$18.17"
"06/26/2026","Reinvest Shares","VIS","VANGUARD INDUSTRIALS INDEX FUND ETF SHARES","0.0407","$353.72","","-$14.39"
"06/26/2026","Reinvest Shares","RSPN","INVESCO S&P ...500 EQUAL WEIGHT INDUSTRIALS ETF","0.1382","$63.39","","-$8.76"
"06/26/2026","Reinvest Shares","NVDA","NVIDIA CORP","0.0449","$194.6785","","-$8.75"
"06/26/2026","Reinvest Shares","VFH","VANGUARD FINANCIALS INDEX FUND ETF SHARES","0.6469","$131.59","","-$85.13"
"06/26/2026","Reinvest Shares","VHT","VANGUARD HEALTH CARE INDEX FUND ETF SHARES","0.1542","$299.33","","-$46.16"
"06/26/2026","Reinvest Dividend","VIS","VANGUARD INDUSTRIALS INDEX FUND ETF SHARES","","","","$14.39"
"06/26/2026","Reinvest Dividend","RSPN","INVESCO S&P ...500 EQUAL WEIGHT INDUSTRIALS ETF","","","","$8.76"
"06/26/2026","Qual Div Reinvest","NVDA","NVIDIA CORP","","","","$8.75"
"06/26/2026","Reinvest Dividend","VHT","VANGUARD HEALTH CARE INDEX FUND ETF SHARES","","","","$46.16"
"06/26/2026","Reinvest Dividend","VFH","VANGUARD FINANCIALS INDEX FUND ETF SHARES","","","","$85.13"
"06/25/2026","Reinvest Shares","META","META PLATFORMS INC CLASS A","0.0154","$546.894","","-$8.44"
"06/25/2026","Qual Div Reinvest","META","META PLATFORMS INC CLASS A","","","","$8.44"
"06/24/2026","Reinvest Shares","XLE","STATE STREET ENERGY SELECT SECTOR SPDR ETF","0.4716","$53.3978","","-$25.18"
"06/24/2026","Reinvest Shares","XLU","STATE STREET UTILITIES SELECT SECTOR SPDR ETF","1.145","$45.178","","-$51.73"
"06/24/2026","Reinvest Shares","XLP","STATE STREET CONSUMER STAPLES SELECT SECTOR SPDR ETF","0.449","$84.23","","-$37.82"
"06/24/2026","Reinvest Shares","XLF","STATE STREET FINANCIAL SELECT SECTOR SPDR ETF","0.4575","$53.64","","-$24.54"
"06/24/2026","Reinvest Shares","XLB","STATE STREET MATERIALS SELECT SECTOR SPDR ETF","0.2603","$51.21","","-$13.33"
"06/24/2026","Reinvest Shares","XLC","STATE STREET COMMUNICATION SERVICES SELECT SECTOR SPDR ETF","0.0337","$107.42","","-$3.62"
"06/24/2026","Reinvest Dividend","XLP","STATE STREET CONSUMER STAPLES SELECT SECTOR SPDR ETF","","","","$37.82"
"06/24/2026","Reinvest Dividend","XLB","STATE STREET MATERIALS SELECT SECTOR SPDR ETF","","","","$13.33"
"06/24/2026","Reinvest Dividend","XLU","STATE STREET UTILITIES SELECT SECTOR SPDR ETF","","","","$51.73"
"06/24/2026","Reinvest Dividend","XLF","STATE STREET FINANCIAL SELECT SECTOR SPDR ETF","","","","$24.54"
"06/24/2026","Reinvest Dividend","XLC","STATE STREET COMMUNICATION SERVICES SELECT SECTOR SPDR ETF","","","","$3.62"
"06/24/2026","Reinvest Dividend","XLE","STATE STREET ENERGY SELECT SECTOR SPDR ETF","","","","$25.18"
"06/23/2026","Reinvest Shares","FTEC","FIDELITY MSCI INFORMATION TECHNOLOGY INDEX ETF","0.1839","$279.524","","-$51.41"
"06/23/2026","Reinvest Shares","FDIS","FIDELITY MSCI CONSUMER DISCRETIONARY INDEX ETF","0.3586","$99.7451","","-$35.77"
"06/23/2026","Reinvest Dividend","FTEC","FIDELITY MSCI INFORMATION TECHNOLOGY INDEX ETF","","","","$51.41"
"06/23/2026","Reinvest Dividend","FDIS","FIDELITY MSCI CONSUMER DISCRETIONARY INDEX ETF","","","","$35.77"
"06/18/2026","Reinvest Shares","WM","WASTE MGMT INC DEL","0.0897","$215.0358","","-$19.29"
"06/18/2026","Reinvest Shares","IGV","ISHARES EXPANDED TECH-SOFTWARE SECTOR ETF","0.0142","$88.6355","","-$1.26"
"06/18/2026","Reinvest Shares","HD","HOME DEPOT INC","0.0697","$336.7564","","-$23.47"
"06/18/2026","Qual Div Reinvest","WM","WASTE MGMT INC DEL","","","","$19.29"
"06/18/2026","Qual Div Reinvest","HD","HOME DEPOT INC","","","","$23.47"
"06/18/2026","Reinvest Dividend","IGV","ISHARES EXPANDED TECH-SOFTWARE SECTOR ETF","","","","$1.26"
"06/16/2026 as of 06/15/2026","Bank Interest","","BANK INT ...526 SCHWAB BANK","","","","$0.06"
"06/15/2026","Reinvest Shares","GOOG","ALPHABET INC CLASS CLASS C","0.0505","$368.8487","","-$18.63"
"06/15/2026","Qual Div Reinvest","GOOG","ALPHABET INC CLASS CLASS C","","","","$18.63"
"06/12/2026","Reinvest Shares","PFE","PFIZER INC","3.2601","$26.3032","","-$85.75"
"06/12/2026","Qual Div Reinvest","PFE","PFIZER INC","","","","$85.75"
"06/11/2026","Reinvest Shares","MSFT","MICROSOFT CORP","0.0845","$392.168","","-$33.15"
"06/11/2026","Reinvest Shares","TMUS","T-MOBILE US INC","0.109","$187.1297","","-$20.40"
"06/11/2026","Qual Div Reinvest","TMUS","T-MOBILE US INC","","","","$20.40"
"06/11/2026","Qual Div Reinvest","MSFT","MICROSOFT CORP","","","","$33.15"
"06/10/2026","Reinvest Shares","SPGI","S&P GLOBAL INC","0.0317","$428.1181","","-$13.58"
"06/10/2026","Reinvest Shares","XOM","EXXON MOBIL CORP","0.0962","$151.0012","","-$14.52"
"06/10/2026","Reinvest Shares","LLY","ELI LILLY AND CO","0.0105","$1153.5594","","-$12.15"
"06/10/2026","Qual Div Reinvest","SPGI","S&P GLOBAL INC","","","","$13.58"
"06/10/2026","Qual Div Reinvest","XOM","EXXON MOBIL CORP","","","","$14.52"
"06/10/2026","Qual Div Reinvest","LLY","ELI LILLY AND CO","","","","$12.15"
"06/05/2026","Qualified Dividend","CEG","CONSTELLATION ENERGY COR","","","","$6.82"
"06/03/2026","Reinvest Shares","VCSH","VANGUARD SHORT TERM COR BD ETF","0.3155","$78.77","","-$24.85"
"06/03/2026","Reinvest Dividend","VCSH","VANGUARD SHORT TERM COR BD ETF","","","","$24.85"
"06/01/2026","Reinvest Shares","V","VISA INC CLASS A","0.0683","$323.9217","","-$22.12"
"06/01/2026","Qual Div Reinvest","V","VISA INC CLASS A","","","","$22.12"
"05/26/2026","Reinvest Shares","HWM","HOWMET AEROSPACE INC","0.0037","$260.6186","","-$0.96"
"05/26/2026","Reinvest Shares","WMT","WALMART INC","0.1153","$119.1971","","-$13.74"
"05/26/2026","Qual Div Reinvest","WMT","WALMART INC","","","","$13.74"
"05/26/2026","Qual Div Reinvest","HWM","HOWMET AEROSPACE INC","","","","$0.96"
"05/19/2026","Reinvest Shares","CAT","CATERPILLAR INC","0.0423","$850.9524","","-$35.97"
"05/19/2026","Qual Div Reinvest","CAT","CATERPILLAR INC","","","","$35.97"
"05/18/2026 as of 05/15/2026","Bank Interest","","BANK INT ...526 SCHWAB BANK","","","","$0.05"
"05/15/2026","Reinvest Shares","COST","COSTCO WHSL CORP NEW","0.006","$1045.0311","","-$6.23"
"05/15/2026","Bond Interest","91282CLW9","US TREASUR NT 4.25%11/34UST NOTE DUE 11/15/34","","","","$531.25"
"05/15/2026","Qual Div Reinvest","COST","COSTCO WHSL CORP NEW","","","","$6.23"
"05/14/2026","Reinvest Shares","AAPL","APPLE INC","0.0577","$298.1514","","-$17.20"
"05/14/2026","Qual Div Reinvest","AAPL","APPLE INC","","","","$17.20"
"05/13/2026","Foreign Tax Paid","SBGSF","SCHNEIDER ELECTRIC ORDF","","","","-$22.12"
"05/13/2026","Qualified Dividend","SBGSF","SCHNEIDER ELECTRIC ORDF","","","","$88.46"
"05/11/2026","Reinvest Shares","NUE","NUCOR CORP","0.1226","$229.7912","","-$28.18"
"05/11/2026","Reinvest Shares","BX","BLACKSTONE INC","0.4544","$123.1831","","-$55.98"
"05/11/2026","Qual Div Reinvest","BX","BLACKSTONE INC","","","","$55.98"
"05/11/2026","Qual Div Reinvest","NUE","NUCOR CORP","","","","$28.18"
"05/08/2026","Reinvest Shares","MA","MASTERCARD INC CLASS CLASS A","0.0194","$494.4297","","-$9.57"
"05/08/2026","Qual Div Reinvest","MA","MASTERCARD INC CLASS CLASS A","","","","$9.57"
"05/05/2026","Reinvest Shares","VCSH","VANGUARD SHORT TERM COR BD ETF","0.3073","$78.98","","-$24.27"
"05/05/2026","Reinvest Dividend","VCSH","VANGUARD SHORT TERM COR BD ETF","","","","$24.27"
"04/30/2026","Reinvest Shares","SYK","STRYKER CORP","0.0447","$316.6687","","-$14.15"
